Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
Korg,nts-1,29,0,0,29,No,No,None
Korg,opsix,39,0,0,39,No,No,None
Korg,wavestate,118,0,0,118,No,No,None
Korg,micro_korg,47,0,0,47,No,No,None
Korg,minilogue xd,66,0,0,66,No,No,None
Korg,minilogue,41,0,0,41,No,No,None
Korg,monologue,22,0,0,22,No,No,None
Korg,volca bass,12,0,0,12,No,No,None
Korg,volca beats,20,0,0,20,No,No,None
Korg,volca drum,31,0,0,31,No,No,None
Korg,volca fm,11,0,0,11,No,No,None
Korg,volca keys,16,0,0,16,No,No,None
Korg,volca kick,10,0,0,10,No,No,None
Korg,volca nubass,11,0,0,11,No,No,None
Korg,volca sample,11,0,0,11,No,No,None
Korg,pa4x,56,19,0,75,No,No,None
Korg,microKORG XL+,92,0,0,92,No,No,None
Korg,microKORG,74,0,0,74,No,No,None
Korg,Kaoss Pad 3,10,0,0,10,No,No,None
Korg,Kaoss Pad 2,5,0,0,5,No,No,None
Kemper,Profiler,42,0,0,42,Yes,Yes,None
Kemper,Profiler Player,25,0,0,25,No,Yes,None
kodamo,essencefm,29,0,0,29,No,No,None
kurzweil,k2661,28,0,0,28,No,No,None
lpzw,tram8,8,0,0,8,No,No,None
lexicon,mx200,15,0,0,15,No,No,None
Line 6,HX One,40,0,0,40,No,No,None
Line 6,HX Stomp,32,0,0,32,Yes,Yes,None
Line 6,Helix,38,0,0,38,No,No,None
Line 6,m5,4,0,0,4,No,No,None
Line 6,M5 Stompbox Modeler,7,0,0,7,No,No,None
Line 6,M13 v2.0 Sompbox Modeler,43,0,0,43,No,No,None
Line 6,DT25 112,203,0,0,203,No,No,None
Line 6,Helix LT,37,0,0,37,No,No,None
Line 6,POD HD500X,28,0,0,28,No,No,None
Line 6,DT25 Head,203,0,0,203,No,No,None
Line 6,POD GO,30,0,0,30,No,No,None
Line 6,POD HD PRO X,28,0,0,28,No,No,None
Line 6,Helix Rack and Control,38,0,0,38,No,No,None
Line 6,Powercab 112 Plus,59,0,0,59,No,No,None
